Id        nazwa                         tytuł                         ilość     kategoria                     UserID    Data                     cena           
135       Adam Mickiewicz               Pan Tadeusz                   11        Język Polski                  56        16.01.2024 01:26:21      80             
138       Bolesław Prus                 Lalka                         3         Język Polski                  62        16.01.2024 01:38:28      90             
139       Juliusz Słowacki              Kordian                       3         Język Polski                  62        16.01.2024 01:38:42      200            
140       Juliusz Słowacki              Kordian                       45        Język Polski                  62        16.01.2024 01:38:57      200            
141       Juliusz Słowacki              Kordian                       5         Język Polski                  62        16.01.2024 01:39:00      200            
142       Juliusz Słowacki              Kordian                       15        Język Polski                  62        16.01.2024 01:39:06      200            
143       Juliusz Słowacki              Kordian                       15        Język Polski                  62        16.01.2024 01:39:09      200            
144       Juliusz Słowacki              Kordian                       15        Język Polski                  62        16.01.2024 01:39:12      200            
145       Juliusz Słowacki              Kordian                       15        Język Polski                  62        16.01.2024 01:39:16      200            
146       Adam Mickiewicz               Pan Tadeusz                   1         Język Polski                  62        16.01.2024 01:39:33      80             
147       Juliusz Słowacki              Kordian                       45        Język Polski                  62        16.01.2024 01:39:49      200            
148       Juliusz Słowacki              Kordian                       5         Język Polski                  62        16.01.2024 01:40:05      200            
151       Juliusz Słowacki              Kordian                       20        Język Polski                  56        16.01.2024 01:41:11      200            
152       Juliusz Słowacki              Kordian                       20        Język Polski                  56        16.01.2024 01:41:32      200            
154       Adam Mickiewicz               Pan Tadeusz                   1         Język Polski                  56        16.01.2024 01:42:41      80             
156       Bolesław Prus                 Lalka                         1         Język Polski                  56        16.01.2024 01:52:58      90             
157       Bolesław Prus                 Lalka                         6         Język Polski                  56        16.01.2024 01:58:09      90             
158       Juliusz Słowacki              Kordian                       1         Język Polski                  56        16.01.2024 01:58:24      200            
159       Juliusz Słowacki              Kordian                       1         Język Polski                  56        16.01.2024 01:58:30      200            
160       Juliusz Słowacki              Kordian                       1         Język Polski                  56        16.01.2024 01:58:32      200            
161       Juliusz Słowacki              Kordian                       1         Język Polski                  56        16.01.2024 01:58:34      200            
162       Juliusz Słowacki              Kordian                       1         Język Polski                  56        16.01.2024 01:58:41      200            
